id,first_name,sex,country
0,anna,female,austria
1,max,male,austria
2,sophie,female,austria
3,david,male,austria
4,lena,female,austria
5,oliver,male,australia
6,emily,female,australia
7,jack,male,australia
8,isabella,female,australia
9,noah,male,australia
10,louis,male,france
11,alice,female,france
12,hugo,male,france
13,juliette,female,france
14,lucas,male,france
15,haruto,male,japan
16,yui,female,japan
17,ren,male,japan
18,aoi,female,japan
19,hiroto,male,japan
20,luis,male,germany
21,laura,female,germany
22,johann,male,germany
23,sophia,female,germany
24,paul,male,germany
25,william,male,united kingdom
26,amelia,female,united kingdom
27,james,male,united kingdom
28,olivia,female,united kingdom
29,george,male,united kingdom
30,liam,male,canada
31,emma,female,canada
32,ethan,male,canada
33,charlotte,female,canada
34,aiden,male,canada
35,liam,male,ireland
36,emily,female,ireland
37,noah,male,ireland
38,sophie,female,ireland
39,jack,male,ireland
40,leonardo,male,italy
41,sofia,female,italy
42,francesco,male,italy
43,giulia,female,italy
44,alessandro,male,italy
45,juan,male,mexico
46,maria,female,mexico
47,carlos,male,mexico
48,ana,female,mexico
49,miguel,male,mexico
50,santiago,male,argentina
51,valentina,female,argentina
52,matías,male,argentina
53,sofía,female,argentina
54,thiago,male,argentina
55,aarav,male,india
56,aaradhya,female,india
57,vivaan,male,india
58,ananya,female,india
59,arjun,male,india
60,yi,male,china
61,xiao,female,china
62,yan,male,china
63,ming,female,china
64,zhang,male,china
65,alexander,male,russia
66,sofia,female,russia
67,dmitri,male,russia
68,anastasia,female,russia
69,ivan,male,russia
70,mohammed,male,saudi arabia
71,aisha,female,saudi arabia
72,omar,male,saudi arabia
73,fatima,female,saudi arabia
74,ahmed,male,saudi arabia
75,mohammed,male,united arab emirates
76,layla,female,united arab emirates
77,mohammed,male,united arab emirates
78,fatima,female,united arab emirates
79,hamad,male,united arab emirates
80,hamad,male,qatar
81,noura,female,qatar
82,abdullah,male,qatar
83,layla,female,qatar
84,abdul,male,qatar
85,ethan,male,singapore
86,chloe,female,singapore
87,kian,male,singapore
88,sophia,female,singapore
89,ryan,male,singapore
90,mohammed,male,malaysia
91,nur,female,malaysia
92,aiden,male,malaysia
93,siti,female,malaysia
94,aisyah,female,malaysia
95,jose,male,philippines
96,maria,female,philippines
97,david,male,philippines
98,angel,female,philippines
99,nicole,female,philippines
100,aryan,male,indonesia
101,siti,female,indonesia
102,ethan,male,indonesia
103,putri,female,indonesia
104,adam,male,indonesia
105,araya,female,thailand
106,poom,female,thailand
107,anusorn,male,thailand
108,kanya,female,thailand
109,weerachai,male,thailand
110,duy,male,vietnam
111,thi,female,vietnam
112,hoang,male,vietnam
113,thao,female,vietnam
114,minh,male,vietnam
115,oliver,male,new zealand
116,isabella,female,new zealand
117,lucas,male,new zealand
118,charlotte,female,new zealand
119,mason,male,new zealand
120,mohamed,male,egypt
121,nour,female,egypt
122,adam,male,egypt
123,mariam,female,egypt
124,youssef,male,egypt
125,daniel,male,kenya
126,sophia,female,kenya
127,david,male,kenya
128,grace,female,kenya
129,john,male,kenya
130,muhammad,male,nigeria
131,esther,female,nigeria
132,david,male,nigeria
133,mercy,female,nigeria
134,joseph,male,nigeria
135,liam,male,south africa
136,emma,female,south africa
137,noah,male,south africa
138,isabella,female,south africa
139,ethan,male,south africa
140,lucas,male,brazil
141,alice,female,brazil
142,joão,male,brazil
143,maria,female,brazil
144,gabriel,male,brazil
145,james,male,united states
146,olivia,female,united states
147,liam,male,united states
148,emma,female,united states
149,noah,male,united states
150,liam,male,sweden
151,ella,female,sweden
152,william,male,sweden
153,emma,female,sweden
154,lucas,male,sweden
155,daniel,male,spain
156,sofía,female,spain
157,hugo,male,spain
158,maría,female,spain
159,martín,male,spain
160,min,male,south korea
161,seo-yeon,female,south korea
162,min-joon,male,south korea
163,ji-hye,female,south korea
164,jae-won,male,south korea
